Data_Status,State,MSN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2020P,NJ,ARICD,13.09,15.74,16.41,15.15,15.62,13.28,8.63,9.98,13.34,13.05
2020P,NJ,ARTCD,13.09,15.74,16.41,15.15,15.62,13.28,8.63,9.98,13.34,13.05
2020P,NJ,ARTXD,13.09,15.74,16.41,15.15,15.62,13.28,8.63,9.98,13.34,13.05
2020P,NJ,AVACD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,NJ,AVTCD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,NJ,AVTXD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,NJ,CLACD,0,0,0,0,0,0,0,0,0,0
2020P,NJ,CLCCD,0,0,0,0,0,0,0,0,0,0
2020P,NJ,CLEID,4.16,4.18,4.05,3.87,3.95,3.82,3.21,3.17,3.51,3.07
2020P,NJ,CLICD,0,0,0,0,0,0,0,0,0,0
2020P,NJ,CLKCD,0,0,0,0,0,0,0,0,0,0
2020P,NJ,CLOCD,0,0,0,0,0,0,0,0,0,0
2020P,NJ,CLRCD,0,0,0,0,0,0,0,0,0,0
2020P,NJ,CLTCD,4.16,4.18,4.05,3.87,3.95,3.82,3.21,3.17,3.51,3.07
2020P,NJ,CLTXD,0,0,0,0,0,0,0,0,0,0
2020P,NJ,DFACD,20.76,26.53,27.39,26.81,26.66,19.57,16.31,18.89,22.49,21.86
2020P,NJ,DFCCD,18.38,24.68,25.95,24.87,23.89,14.74,12.32,14.71,18.12,16.14
2020P,NJ,DFEID,17.02,22.44,23.56,24.43,23.67,14.7,10.23,13.96,15.58,14.06
2020P,NJ,DFICD,18.01,24.41,25.44,24.64,23.27,14.68,11.49,15.12,16.25,15.04
2020P,NJ,DFRCD,23.14,26.42,30.04,29.09,28.39,19.83,17.05,18.94,20.81,20.41
2020P,NJ,DFTCD,20.86,26.23,27.55,26.9,26.49,18.94,15.82,18.42,21.64,20.9
2020P,NJ,DFTXD,20.89,26.24,27.56,26.9,26.51,18.96,15.83,18.43,21.69,20.92
2020P,NJ,DKEID,17.02,22.44,23.56,24.43,23.67,14.7,10.23,13.96,15.58,14.06
2020P,NJ,ELEXD,0,0,0,9.78,12.91,8.11,5.88,5.45,8.73,0
2020P,NJ,ELIMD,13.31,11.53,0,11.49,13.31,10.54,8.74,9.18,10.74,0
2020P,NJ,ESACD,34.38,31.35,28.65,31.07,30.56,30.05,25.45,25.83,26.57,25.78
